Venue,Innings1Team,Innings_1_Score,Winner
Abu Dhabi,Afghanistan,159,Afghanistan
Abu Dhabi,Afghanistan,160,Afghanistan
Abu Dhabi,Canada,178,Canada
Abu Dhabi,Canada,137,United States of America
Abu Dhabi,Canada,137,Canada
Abu Dhabi,Canada,117,Namibia
Abu Dhabi,Chennai Super Kings,205,Kings XI Punjab
Abu Dhabi,Chennai Super Kings,177,Chennai Super Kings
Abu Dhabi,England,129,England
Abu Dhabi,Canada,168,Hong Kong
Abu Dhabi,United Arab Emirates,138,United Arab Emirates
Adelaide,Australia,157,England
Adelaide,Australia,144,South Africa
Adelaide,Australia,187,Australia
Adelaide,Adelaide Strikers,129,Brisbane Heat
Adelaide,Adelaide Strikers,206,Brisbane Heat
Adelaide,Adelaide Strikers,171,Hobart Hurricanes
Adelaide,Adelaide Strikers,136,Adelaide Strikers
Adelaide,Adelaide Strikers,143,Adelaide Strikers
Adelaide,Adelaide Strikers,161,Adelaide Strikers
Adelaide,Australia,188,India
Bangalore,Bangladesh,156,Australia
Bangalore,Chennai Super Kings,178,Chennai Super Kings
Bangalore,Chennai Super Kings,128,Royal Challengers Bangalore
Bangalore,Chennai Super Kings,187,Chennai Super Kings
Bangalore,Chennai Super Kings,242,Chennai Super Kings
Bangalore,Chennai Super Kings,155,Chennai Super Kings
Bangalore,Chennai Super Kings,181,Chennai Super Kings
Bangalore,Deccan Chargers,181,Royal Challengers Bangalore
Bangalore,Delhi Daredevils,138,Royal Challengers Bangalore
Bangalore,Delhi Daredevils,183,Delhi Daredevils
Birmingham,Durham,154,Warwickshire
Birmingham,Durham,156,Durham
Birmingham,Durham,153,Northamptonshire
Birmingham,England,118,England
Birmingham,England,180,England
Birmingham,Essex,168,Northamptonshire
Birmingham,Glamorgan,79,No result
Birmingham,Glamorgan,148,Warwickshire
Birmingham,Glamorgan,173,Glamorgan
Birmingham,Gloucestershire,188,Gloucestershire
Cape Town,Australia,138,Zimbabwe
Cape Town,Bangladesh,144,South Africa
Cape Town,Bangladesh,123,Australia
Cape Town,Bangladesh,140,Pakistan
Cape Town,Boland,134,Boland
Cape Town,Boland,72,Western Province
Cape Town,Cape Cobras,161,Cape Cobras
Cape Town,Cape Cobras,155,Cape Cobras
Cape Town,Cape Cobras,212,Cape Cobras
Cape Town,Cape Cobras,143,Cape Cobras
